,Artist,Song,Genre,Language,Lyrics
0,bilderbuch,schick schock,Pop,de,"sag es laut!
du bist hinter meinem hintern her!
sag es laut
jaul es raus
gib es zu!
du bist hinter meinem hintern!
ich spur's in deinen fingern
du bist hinter meinem hintern her!
sag es laut
jaul es raus
gib es zu!
he!
seit ich da so steh fallt mir auf
dass du mich schon wie ein reh anschaust
du sagst dir: ""was ist das fur ein fresh designer?""
softdrink in der hand
feinste seide an der haut
ich kann versteh'n es ist nicht leicht
dass du dich traust
also marschier ich auf dich zu
ich bin da
wo bist du?
sag es laut
sag es laut!
du hast den schick schock
weil dich mein schick schockt
du hast den schick schock
ha! schick schock
du hast den schick schock
weil dich mein schick schockt
du hast den schick schock
schickediwiggediwop schick schock
seit ich auf dich schau fallt mir auf
dass du auf mich stehst
aus brot mach ich cake
nenn mich maurice antoinette
sparkling
sparkling in meinem glas
sag mir
wer ist der schonste an der bar?
das enfant terrible der new schickeria
sag es laut
sag es laut!
du hast den schick schock
weil dich mein schick schockt
du hast den schick schock
ha! schick schock
du hast den schick schock
weil dich mein schick schockt
du hast den schick schock
schickediwiggediwop schick schock
sag es laut!
du bist hinter meinem hintern her!
sag es laut
jaul es raus
gib es zu!
ha!"
1,revolverheld,superstars,Rock,de,"Er hat die Welt vor sich und alles scheint so leicht
Er ist der Star des Jahres hat alles so schnell erreicht
Und in der Zeitung und im TV sieht man nichts anderes mehr
Ganz oben in den Charts und es war nicht mal schwer
Refrain
Es gibt keine Superstars
Es gibt nur Träume die zerplatzen
Es gibt keine Superstars
Die sind vergessen und verloren
Es gibt keine Superstars
Es gibt nur Träume die zerplatzen
Es gibt keine Superstars
Die sind vergessen und verloren
Es ist zwar wenig ehrlich doch das ist ihm egal
Der Job ist zwar beschwerlich doch er schafft ihn jedes Mal
Und abends im Hotel wenn er alleine ist
Da wird ihm oft klar, dass er sich selbst vermisst
Refrain
Und er sucht nach einer Lösung
Alles macht auf einmal Sinn
Ruhm fließt durch seine Adern
Das Licht geht aus wo ist er hin
Es ist 10 Jahre her und keiner kennt ihn mehr
Vom Alkohol gezeichnet denkt er das ist nicht fair
Er singt als Elvis Presley vor Betrunkenen
Und fragt sich was verkehrt war, wo ist mein Leben hin
Refrain"
2,bilderbuch,barry manilow,Pop,de,"sie sagt
sie schopft ihre kreativitat
aus der stille
sie sagt
sie schopft ihren mut
aus dieser pille
auch
weisser sand
weisser sand
barry manilow
an der copacabana
an der copacabana
barry manilow
weisser sand
weiss wie schnee
barry manilow
jaja
an der copacabana
sie fragt
du schopfst deine kreativitat
aus der stille?
sie fragt
du schopfst deinen mut
aus dieser pille
auch?
weisser sand
weisser sand
barry manilow
an der copacabana
an der copacabana
barry manilow
weisser sand
weiss wie schnee
barry manilow
jaja
an der copacabana
lola
nimm mich mit!
du hast den schick so fest im griff
mit deinen buffalo boots
buffalo boots!
lass mich sein dein dancing-star
in vienna
copa cagrana
ich weiss bescheid jetzt
we take a ride jetzt!
life is a rollercoaster!
lauf
lola! lauf jetzt!
plotzlich ist alles wahr
an der copacabana: weisser sand
nice nice nice
barry manilow
an der copacabana
an der copacabana
barry manilow
weisser sand
weiss wie schnee
barry manilow
jaja
an der copacabana"
3,blutengel,into the labyrinth,Metal,de,"""sag mal
kind
willst du sterben?""
""ich habe keine angst
ich darf in den himmel!""
""es gibt keinen himmel
keinen gott
keine engel
das einzige was dich in der zukunft erwartet ist das nichts
aber vielleicht kannst du das andern
vielleicht kannst du fur alle zeit ein kind bleiben
wurde dir das nicht gefallen?
wurdest du diese gabe nicht annehmen?""
""meine freunde werden kommen und dich toten""
(ich habe ein geschenk fur dich
wenn du mich brauchst
fuhlst
dass ich in der nahe bin
mich aber nicht findest
dann lasst du das leuchten
versuch es)"
4,rammstein,amerika,Metal,de,"We're all living in Amerika
Amerika, ist wunderbar
We're all living in Amerika
Amerika
Amerika
We're all living in Amerika
Amerika, ist wunderbar
We're all living in Amerika
Amerika
Amerika
Wenn getanzt wird will ich führen
Auch wenn ihr euch alleine dreht
Lasst euch ein wenig kontrollieren
Ich zeige euch wie's richtig geht
Wir bilden einen lieben Reigen
Die Freiheit spielt auf allen Geigen
Musik kommt aus dem Weissen Haus
Und vor Paris steht Mickey Mouse
We're all living in Amerika
Amerika, it's wonderbar
We're all living in Amerika
Amerika
Amerika
Ich kenne Schritte, die sehr nützen
Und werde euch vor Fehltritt schützen
Und wer nicht tanzen will am schluss
Weiss noch nicht dass er tanzen muss
Wir bilden einen lieben Reigen
Ich werde euch die Richtung zeigen
Nach Afrika kommt Santa Claus
Und vor Paris steht Mickey Mouse
We're all living in Amerika
Amerika, ist wunderbar
We're all living in Amerika
Amerika
Amerika
We're all living in Amerika
Coca Cola
Wonderbra
We're all living in Amerika
Amerika
Amerika
This is not a love song
This is not a love song
I don't sing my mother tongue
No, this is not a love song
We're all living in Amerika
Amerika, ist wunderbar
We're all living in Amerika
Amerika
Amerika
We're all living in Amerika
Coca Cola
Sometimes war
We're all living in Amerika
Amerika
Amerika"
5,rammstein,ich will,Metal,de,"Ich will
Ich will
Ich will
Ich will
Ich will
Ich will
Ich will
Ich will
Ich will dass ihr mir vertraut
Ich will dass ihr mir glaubt
Ich will eure Blicke spüren
Ich will jeden Herzschlag kontrollieren
Ich will eure Stimmen hören
Ich will die Ruhe stören
Ich will dass ihr mich gut seht
Ich will dass ihr mich versteht
Ich will eure Phantasie
Ich will eure Energie
Ich will eure Hände sehen
Ich will in Beifall untergehen
Seht ihr mich?
Versteht ihr mich?
Fühlt ihr mich?
Hört ihr mich?
Könnt ihr mich hören?
(Wir hören dich)
Könnt ihr mich sehen?
(Wir sehen dich)
Könnt ihr mich fühlen?
(Wir fühlen dich)
Ich verstehe euch nicht
Könnt ihr mich hören?
(Wir hören dich)
Könnt ihr mich sehen?
(Wir sehen dich)
Könnt ihr mich fühlen?
(Wir fühlen dich)
Ich verstehe euch nicht
Ich will
Ich will
Ich will
Ich will
Wir wollen dass ihr uns vertraut
Wir wollen dass ihr uns alles glaubt
Wir wollen eure Hände sehen
Wir wollen in Beifall untergehen, ja
Könnt ihr mich hören?
(Wir hören dich)
Könnt ihr mich sehen?
(Wir sehen dich)
Könnt ihr mich fühlen?
(Wir fühlen dich)
Ich verstehe euch nicht
Könnt ihr uns hören?
(Wir hören euch)
Könnt ihr uns sehen?
(Wir sehen euch)
Könnt ihr uns fühlen?
(Wir fühlen euch)
Wir verstehen euch nicht
Ich will
Ich will"
6,evereve,untergehen und auferstehen,Rock,de,"Werde untergehen und auferstehen
Erhalten durch elixiere gemischt aus blut
Wer will mich halten, wer mich toten,
Wer solite sie loschen, meine glut?

Ich spucke feuer aus der tiefe meines
Herzens
Da meine welt zugrunde geht-
Mein hang zur qual hat sie zerstort
Auf knien das ende herbeigefleht

Hab'mich erborochen nachdem ich dich
liebte
Als do nackt vor mit lagst
Ein zeichen demer augen, ein gutes
Geschenkt dir aus schmerzen, auch wenn
do klagst

[repeat chorus]

word'dich vermissen, so tief der schmerz
Die angst macht alles noch viel schlimmer
Durch meine adern fliesst atzende saure
Gedanken statt worte, statt liebe
Gewimmer...

Noch uber den wolken fliege ich
Die luft voll der vogel gekreische
Mein wille, er jagt mich, verfolgt mich
Ein bestie auf der suche nach faulendem
Fleische"
7,revolverheld,arme hoch,Rock,de,"Los jetzt, wir wollen abgehen
Wir wollen steil gehen
Wir wollen mehr als diese Nacht sehen
Wir wollen abdrehen
Uns nicht umsehen
Nicht mit Kaltgetränk nur rumstehen
Wollen gut aussehen
Wie mit 18
Wenn unsere Platten auf die 1 gehen!
Volume aufdrehen
Alle aufstehen
Wollt ihr abgehen…?
Arme hoch, Hallo wir sind Rockstars
Was auch kommt, wir sind doch zuerst da
Wir fluten Dein Gehirn und gehen durch Eure Venen
Geht ab, Hallo wir sind Rockstars
Scheiß auf Pop, denn jetzt gehen wir ab, ja…
Wir bauen uns die Armee der geilen Rockproleten…
Was denn, wollt Ihr Drogen?
Wollt Ihr pogen?
Kein Retortenquatsch und Loser
Wir haben Hits hier
Chicks und Freibier
Wann wirst Du Revolver-User?
Willst Du Britany oder Justin?
Komm vergiss doch diesen Schwachsinn
Spielen kein Playback
Sind kein Show-Act
Der nur Arsch leckt
Arme hoch, Hallo wir sind Rockstars
Was auch kommt, wir sind doch zuerst da
Wir fluten Dein Gehirn und gehen durch Eure Venen
Geht ab, wir sind Rockstars
Scheiß auf Pop, denn jetzt gehen wir ab, ja…
Wir bauen uns die Armee der geilen Rockproleten…
…wir fluten Dein Gehirn
und gehen durch Eure Venen
Rockstars…
Arme hoch, Hallo wir sind Rockstars
Was auch kommt, wir sind doch zuerst da
Wir fluten Dein Gehirn und gehen durch Eure Venen
Geht ab, wir sind Rockstars
Scheiß auf Pop, denn jetzt gehen wir ab, ja…
Wir bauen uns die Armee der geilen Rockproleten"
8,rammstein,haifisch,Metal,de,"Wir halten zusammen
Wir halten einander aus
Wir halten zu einander
Niemand hält uns auf
Wir halten euch die Treue
Wir halten daran fest.
Und halten unseren Regeln
Wenn an uns Regel lässt.
Und der Haifisch, der hat Tränen
Und die laufen vom Gesicht
Doch der Haifisch lebt im Wasser
So die Tränen sieht man nicht...
Wir halten das Tempo
Wir halten unser Wort
Wenn einer nicht mithält
Dann halten wir sofort.
Wir halten die Augen offen
Wir halten uns den Arm
Sechs Herzen, die brennen
Das Feuer hält euch warm
Und der Haifisch, der hat Tränen
Und die laufen vom Gesicht
Doch der Haifisch lebt im Wasser
So die Tränen sieht man nicht...
In der Tiefe ist es einsam
Und so manche Zähre flies
Und so kommt es, dass das Wasser
In den Meeren salzig ist.
Man kann von uns halten
Was immer mann da will
Wir halten uns schadlos
Wir halten niemals still
Und der Haifisch, der hat Tränen
Und die laufen vom Gesicht
Doch der Haifisch lebt im Wasser
So die Tränen sieht man nicht...
In der Tiefe ist es einsam
Und so manche Zähre flies
Und so kommt es, dass das Wasser
In den Meeren salzig ist.
Und der Haifisch, der hat Tränen
Und die laufen vom Gesicht
Doch der Haifisch lebt im Wasser
So die Tränen sieht man nicht"
9,kraftwerk,autobahn,Rock,de,"Wir fahr'n fahr'n fahr'n auf der Autobahn
Vor uns liegt ein weites tal
Die sonne scheint mit glitzerstrahl
Die fahrbahn ist ein graues band
Weisse streifen, gruener rand
Jetzt schalten wir das radio an
Aus dem lautsprecher klingt es dann:
Wir fahr'n auf der Autobahn...

Translation: 

We are driving on the Autobahn
In front of us is a wide valley
The sun is shining with glittering rays
The driving strip is a grey track
White stripes, green edge
We are switching the radio on
From the speaker it sounds:
We are driving on the Autobahn"
